City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,8.05,94,100,1.45,CL,1702168592
1,adamstown,-25.066,-130.1015,21.62,78,100,3.26,PN,1702168592
2,east london,-33.0153,27.9116,16.04,87,100,5.1,ZA,1702168592
3,edinburgh of the seven seas,-37.0676,-12.3116,13.97,76,100,7.11,SH,1702168593
4,port-aux-francais,-49.35,70.2167,3.09,80,99,12.22,TF,1702168523
5,thompson,55.7435,-97.8558,-6.91,93,100,1.54,CA,1702168471
6,grytviken,-54.2811,-36.5092,3.86,86,23,4.72,GS,1702168593
7,mtwara,-10.2667,40.1833,25.9,85,10,1.67,TZ,1702168593
8,cockburn town,21.4612,-71.1419,25.98,78,75,7.72,TC,1702168513
9,guanambi,-14.2233,-42.7814,30.13,31,100,4.42,BR,1702168593
10,walvis bay,-22.9575,14.5053,16.16,88,0,1.54,NA,1702168593
11,maintirano,-18.0667,44.0167,27.0,81,0,2.79,MG,1702168593
12,alice springs,-23.7,133.8833,14.75,94,100,8.23,AU,1702168593
13,avarua,-21.2078,-159.775,27.03,78,75,11.83,CK,1702168594
14,sierpc,52.8568,19.6691,-0.03,96,91,4.39,PL,1702168594
15,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,95,75,6.71,RU,1702168594
16,port douglas,-16.4833,145.4667,28.72,58,75,2.72,AU,1702168594
17,kruisfontein,-34.0033,24.7314,13.82,89,94,1.62,ZA,1702168594
18,talnakh,69.4865,88.3972,-34.48,98,100,3.33,RU,1702168594
19,diu,20.7141,70.9822,20.7,47,0,4.79,IN,1702168594
20,arraial do cabo,-22.9661,-42.0278,23.15,72,100,3.15,BR,1702168594
21,vernon,50.2581,-119.2691,1.83,91,100,5.14,CA,1702168594
22,lebu,-37.6167,-73.65,12.65,80,0,9.33,CL,1702168595
23,port mathurin,-19.6833,63.4167,26.21,76,20,4.66,MU,1702168595
24,dudinka,69.4058,86.1778,-31.85,96,99,1.34,RU,1702168595
25,krasnyy chikoy,50.3643,108.7512,-28.33,97,19,0.59,RU,1702168595
26,port elizabeth,-33.918,25.5701,15.05,88,45,2.54,ZA,1702168595
27,yellowknife,62.456,-114.3525,-9.71,85,100,5.14,CA,1702168461
28,baranovichi,53.1327,26.0139,-3.9,95,100,5.12,BY,1702168595
29,albany,42.6001,-73.9662,9.23,83,100,0.89,US,1702168559
30,nyons,44.3333,5.1667,2.86,94,0,2.2,FR,1702168596
31,saint-pierre,-21.3393,55.4781,24.82,69,0,2.57,RE,1702168596
32,sitka,57.0531,-135.33,3.94,81,100,3.09,US,1702168596
33,ciutadella,40.0011,3.8414,15.45,79,100,4.43,ES,1702168596
34,estacion santa engracia,24.0159,-99.2015,27.06,44,0,1.88,MX,1702168596
35,aberdeen,57.1437,-2.0981,8.44,95,75,2.57,GB,1702168525
36,waitangi,-43.9535,-176.5597,15.46,90,100,4.92,NZ,1702168596
37,baiyin,36.5583,104.2081,0.34,47,100,2.12,CN,1702168596
38,dubbo,-32.25,148.6167,33.07,43,23,6.17,AU,1702168596
39,tiksi,71.6872,128.8694,-24.4,99,100,2.02,RU,1702168597
40,bilibino,68.0546,166.4372,-18.28,100,98,0.87,RU,1702168597
41,bonanza,14.0289,-84.591,21.67,93,84,1.0,NI,1702168597
42,zapala,-38.8992,-70.0544,19.66,23,0,2.16,AR,1702168597
43,pasni,25.2631,63.471,22.49,32,1,6.66,PK,1702168597
44,iqaluit,63.7506,-68.5145,-5.15,86,100,4.63,CA,1702168597
45,pont-sainte-maxence,49.3017,2.6047,10.64,81,13,8.44,FR,1702168597
46,geraldton,-28.7667,114.6,26.23,18,0,13.38,AU,1702168598
47,feldioara,45.8167,25.6,-0.78,96,100,1.09,RO,1702168598
48,novyy urgal,51.0736,132.5642,-24.39,78,66,1.93,RU,1702168598
49,sandnessjoen,66.0217,12.6316,-3.71,80,64,11.0,NO,1702168598
50,papatowai,-46.5619,169.4708,13.82,49,71,6.68,NZ,1702168598
51,carnarvon,-24.8667,113.6333,29.22,27,0,11.04,AU,1702168598
52,enewetak,11.3474,162.3373,27.33,80,8,5.99,MH,1702168598
53,hithadhoo,-0.6,73.0833,27.84,77,100,1.93,MV,1702168598
54,antofagasta,-23.65,-70.4,18.6,81,54,1.64,CL,1702168563
55,ushuaia,-54.8,-68.3,8.81,76,20,11.32,AR,1702168462
56,coquimbo,-29.9533,-71.3436,16.85,82,0,3.09,CL,1702168599
57,robertsport,6.7533,-11.3686,27.36,84,25,3.55,LR,1702168599
58,poronaysk,49.2167,143.1167,-10.79,69,22,8.95,RU,1702168599
59,stanley,54.868,-1.6985,7.38,88,75,6.69,GB,1702168599
60,shingu,33.7333,135.9833,17.44,52,0,0.43,JP,1702168599
61,punta arenas,-53.15,-70.9167,11.06,71,100,8.23,CL,1702168599
62,isafjordur,66.0755,-23.124,-2.12,86,69,2.25,IS,1702168599
63,ilulissat,69.2167,-51.1,-5.99,73,75,5.66,GL,1702168599
64,hawaiian paradise park,19.5933,-154.9731,26.73,80,20,3.6,US,1702168600
65,boyolangu,-8.1181,111.8935,28.03,71,52,3.71,ID,1702168600
66,port augusta,-32.5,137.7667,18.85,80,100,8.64,AU,1702168600
67,tazovsky,67.4667,78.7,-38.22,100,62,1.68,RU,1702168341
68,kisangani,0.5167,25.2,22.25,97,100,1.1,CD,1702168600
69,siwa oasis,29.2041,25.5195,14.88,44,100,2.98,EG,1702168600
70,west island,-12.1568,96.8225,26.99,78,40,7.72,CC,1702168600
71,udachny,66.4167,112.4,-30.31,82,100,2.23,RU,1702168600
72,ramanayyapeta,16.9452,82.2385,23.23,94,7,1.8,IN,1702168601
73,blackmans bay,-43.0167,147.3167,18.07,51,0,0.45,AU,1702168601
74,acarau,-2.8856,-40.12,26.98,76,47,8.03,BR,1702168601
75,codrington,-38.2667,141.9667,16.57,57,98,8.31,AU,1702168601
76,longyearbyen,78.2186,15.6401,-5.09,58,75,8.75,SJ,1702168436
77,lompoc,34.6391,-120.4579,20.08,49,0,2.57,US,1702168601
78,el granada,37.5027,-122.4694,15.51,53,0,4.12,US,1702168601
79,klyuchi,52.2667,79.1667,-20.91,74,64,1.56,RU,1702168601
80,sompeta,18.9333,84.6,21.26,78,12,1.8,IN,1702168601
81,tefe,-3.3542,-64.7114,26.06,94,20,0.0,BR,1702168549
82,hasaki,35.7333,140.8333,14.05,55,0,2.41,JP,1702168601
83,senak'i,42.2704,42.0675,12.05,64,100,5.53,GE,1702168601
84,shahpur,16.7,76.8333,20.13,73,7,2.65,IN,1702168602
85,rio grande,-32.035,-52.0986,20.06,76,13,8.87,BR,1702168602
86,new norfolk,-42.7826,147.0587,18.73,29,4,1.16,AU,1702168602
87,invercargill,-46.4,168.35,13.41,54,31,6.96,NZ,1702168566
88,khalkhal,37.6189,48.5258,4.38,77,51,4.52,IR,1702168602
89,vilyuchinsk,52.9306,158.4028,1.15,98,100,8.13,RU,1702168602
90,bredasdorp,-34.5322,20.0403,15.34,84,40,2.64,ZA,1702168602
91,kotel'nikovo,47.6317,43.1461,-2.74,85,100,8.67,RU,1702168602
92,puerto ayora,-0.7393,-90.3518,24.19,96,41,2.24,EC,1702168602
93,razole,16.4833,81.8333,21.33,95,11,1.72,IN,1702168602
94,tsiombe,-25.3,45.4833,21.67,84,0,1.93,MG,1702168602
95,karkira,36.9292,6.5856,12.52,82,63,4.15,DZ,1702168603
96,priozersk,61.0393,30.1291,-9.44,84,100,4.78,RU,1702168603
97,chonchi,-42.6128,-73.8092,13.56,90,81,0.81,CL,1702168603
98,az zuwaytinah,30.9522,20.1202,15.55,73,98,3.73,LY,1702168603
99,naxos,37.1056,25.3764,12.95,84,100,2.24,GR,1702168603
100,diamantina,-18.2494,-43.6003,18.14,88,96,3.41,BR,1702168603
101,bhaisa,19.1,77.9667,17.43,66,1,1.07,IN,1702168603
102,georgetown,5.4112,100.3354,28.3,86,20,2.06,MY,1702168603
103,touros,-5.1989,-35.4608,26.66,75,51,6.73,BR,1702168603
104,lihue,21.9789,-159.3672,26.36,71,0,2.57,US,1702168604
105,juruti,-2.1522,-56.0922,26.64,77,100,0.64,BR,1702168604
106,sabzevar,36.2126,57.6819,8.18,42,6,1.2,IR,1702168604
107,keflavik,64.0049,-22.5624,1.24,80,0,1.54,IS,1702168604
108,ribeira grande,38.5167,-28.7,18.76,91,100,7.6,PT,1702168604
109,haiku-pauwela,20.9219,-156.3051,27.01,68,40,9.26,US,1702168604
110,san antonio de pale,-1.4014,5.6325,27.22,80,50,5.73,GQ,1702168604
111,akrehamn,59.2667,5.1833,6.34,52,75,9.26,NO,1702168604
112,afaahiti,-17.75,-149.2833,29.93,84,97,10.42,PF,1702168604
113,vila franca do campo,37.7167,-25.4333,19.23,99,100,8.29,PT,1702168604
114,hotan,37.0997,79.9269,6.18,22,100,3.18,CN,1702168604
115,fort bragg,35.139,-79.006,18.91,74,75,1.54,US,1702168605
116,nar'yan-mar,67.6713,53.087,-27.16,92,12,2.68,RU,1702168605
117,beli,7.8587,10.9719,24.14,27,29,0.92,NG,1702168605
118,gazli,40.1333,63.45,-2.17,40,28,6.72,UZ,1702168605
119,miandrivazo,-19.5167,45.4667,27.51,74,13,1.47,MG,1702168605
120,kattivakkam,13.2167,80.3167,26.05,81,1,4.04,IN,1702168605
121,broome,42.2506,-75.833,10.43,85,100,0.89,US,1702168605
122,carloforte,39.145,8.3058,15.84,76,100,7.46,IT,1702168605
123,fauske,67.2588,15.3918,-1.98,81,91,5.25,NO,1702168605
124,utrik,11.2278,169.8474,27.31,79,100,8.38,MH,1702168605
125,kapuskasing,49.4169,-82.4331,3.0,93,100,2.06,CA,1702168605
126,port isabel,26.0734,-97.2086,25.04,85,13,0.45,US,1702168606
127,chifeng,42.2683,118.9636,-10.38,29,100,1.38,CN,1702168606
128,south hedland,-20.4089,118.5983,29.96,25,6,9.77,AU,1702168606
129,besikduzu,41.052,39.2284,13.94,72,59,3.56,TR,1702168606
130,ancud,-41.8697,-73.8203,11.16,92,100,1.86,CL,1702168606
131,tidjikja,18.5564,-11.4271,20.94,20,58,5.36,MR,1702168606
132,kosong,38.3788,128.4676,9.27,90,93,4.64,KR,1702168606
133,al jumum,21.6169,39.6981,25.14,71,27,1.47,SA,1702168606
134,kodiak,57.79,-152.4072,-3.27,59,0,3.09,US,1702168448
135,iskateley,67.6803,53.1512,-27.21,92,12,2.68,RU,1702168606
136,margaret river,-33.95,115.0667,19.71,35,0,4.06,AU,1702168606
137,robore,-18.3333,-59.75,27.64,59,67,1.81,BO,1702168606
138,ust-nera,64.5667,143.2,-17.46,99,100,1.7,RU,1702168607
139,wetaskiwin,52.9668,-113.3687,-6.11,81,100,5.12,CA,1702168607
140,sernancelhe,40.921,-7.5123,13.5,98,100,2.29,PT,1702168607
141,qaqortoq,60.7167,-46.0333,-4.18,74,100,2.92,GL,1702168607
142,namsos,64.4662,11.4957,1.03,74,40,6.17,NO,1702168607
143,baihar,22.1,80.55,13.15,75,2,0.6,IN,1702168607
144,qamdo,31.1667,97.2333,-7.33,66,69,2.44,CN,1702168607
145,wailua homesteads,22.0669,-159.378,26.03,77,0,2.57,US,1702168607
146,newman,37.3138,-121.0208,14.13,44,68,0.89,US,1702168607
147,shetpe,44.1667,52.1167,-1.62,38,100,9.96,KZ,1702168607
148,hobyo,5.3505,48.5268,26.56,77,72,8.15,SO,1702168607
149,whitehorse,60.7161,-135.0538,-9.95,84,100,3.09,CA,1702168607
150,murehwa,-17.6432,31.784,22.02,46,29,3.08,ZW,1702168608
151,jamestown,42.097,-79.2353,14.77,79,100,5.66,US,1702168433
152,kayangel,8.0823,134.7173,28.59,76,100,6.68,PW,1702168608
153,dalnegorsk,44.5604,135.5701,-11.89,66,9,5.81,RU,1702168608
154,plettenberg bay,-34.0527,23.3716,13.54,88,60,1.31,ZA,1702168608
155,bethel,41.3712,-73.414,9.55,87,100,0.0,US,1702168484
156,itoman,26.1247,127.6694,25.22,73,75,3.09,JP,1702168608
157,catende,-8.6667,-35.7167,23.4,85,100,2.19,BR,1702168608
158,kolonia,50.9333,6.95,11.05,71,75,8.75,DE,1702168408
159,hamilton,39.1834,-84.5333,13.82,93,100,6.17,US,1702168562
160,kapa'a,22.0752,-159.319,26.77,77,0,2.57,US,1702168608
161,sisimiut,66.9395,-53.6735,-7.76,82,99,3.84,GL,1702168608
162,aasiaat,68.7098,-52.8699,-10.99,86,100,2.97,GL,1702168608
163,taoudenni,22.6783,-3.9836,20.61,29,50,5.89,ML,1702168608
164,nemuro,43.3236,145.575,3.77,55,89,5.29,JP,1702168609
165,sumberpucung,-8.1586,112.4829,26.49,78,36,2.2,ID,1702168609
166,gaigeturi,33.4644,126.3183,17.03,63,20,2.06,KR,1702168609
167,susuman,62.7833,148.1667,-16.68,97,100,0.89,RU,1702168609
168,concepcion del bermejo,-26.5993,-60.9462,23.36,90,94,3.77,AR,1702168609
169,naracoorte,-36.9579,140.7383,19.0,43,100,7.36,AU,1702168609
170,fukuecho,32.6881,128.8419,18.2,77,20,3.6,JP,1702168609
171,margate,51.3813,1.3862,9.37,65,9,6.71,GB,1702168609
172,namibe,-15.1961,12.1522,24.06,81,100,2.39,AO,1702168609
173,coahuayana de hidalgo,18.7,-103.6583,24.84,77,0,0.46,MX,1702168609
174,aras-asan,8.8908,126.3033,27.79,77,100,2.07,PH,1702168609
175,sawai madhopur,25.9833,76.3667,14.8,61,0,1.18,IN,1702168610
176,greymouth,-42.4667,171.2,15.82,55,4,6.76,NZ,1702168610
177,port lincoln,-34.7333,135.8667,13.55,89,100,12.26,AU,1702168581
178,dunda,-8.1167,34.25,19.42,91,100,0.76,TZ,1702168610
179,zdvinsk,54.7021,78.661,-28.67,93,100,2.3,RU,1702168610
180,road town,18.4167,-64.6167,27.05,74,40,6.69,VG,1702168610
181,el abiodh sidi cheikh,32.893,0.5484,9.46,59,26,3.86,DZ,1702168610
182,lae,-6.7221,146.9847,31.37,62,69,3.3,PG,1702168610
183,bataipora,-22.2953,-53.2711,25.87,74,0,2.55,BR,1702168610
184,gadzhiyevo,69.2551,33.3362,-14.05,93,76,7.24,RU,1702168610
185,camiri,-20.05,-63.5167,24.57,62,97,1.96,BO,1702168610
186,takahagi,36.7167,140.7167,16.21,62,0,0.45,JP,1702168610
187,levuka,50.1834,-105.4011,-6.1,65,3,3.47,CA,1702168611
188,hermanus,-34.4187,19.2345,15.45,86,3,4.25,ZA,1702168611
189,new plymouth,-39.0667,174.0833,17.67,94,100,6.45,NZ,1702168611
190,st. john's,47.5649,-52.7093,2.1,87,75,12.35,CA,1702168374
191,fisterra,42.9049,-9.2629,17.64,98,100,9.02,ES,1702168611
192,sao gabriel da cachoeira,-0.1303,-67.0892,23.77,98,100,0.33,BR,1702168611
193,tukrah,32.5341,20.5791,16.17,62,100,7.3,LY,1702168611
194,naha,26.2125,127.6811,25.16,73,75,3.6,JP,1702168611
195,port alfred,-33.5906,26.891,13.99,95,100,3.63,ZA,1702168611
196,portland,45.5234,-122.6762,6.16,92,100,7.72,US,1702168080
197,cidade velha,14.9167,-23.6167,25.26,36,20,4.12,CV,1702168611
198,pandan,14.0453,124.1694,28.04,76,6,3.97,PH,1702168611
199,kone,-21.0595,164.8658,29.69,41,97,4.43,NC,1702168611
200,lagoa,39.05,-27.9833,18.09,84,100,11.56,PT,1702168611
201,murghob,38.1702,73.9667,-17.55,80,1,2.15,TJ,1702168612
202,usinsk,65.9939,57.5281,-25.52,100,99,1.79,RU,1702168612
203,ingleside,27.8778,-97.2117,24.05,93,40,1.54,US,1702168571
204,kalabo,-14.97,22.6814,22.91,69,10,3.05,ZM,1702168612
205,dryden,49.7833,-92.7503,-7.84,86,100,4.12,CA,1702168612
206,linfen,36.0889,111.5189,2.74,79,100,6.1,CN,1702168612
207,silute,55.3489,21.4831,-3.6,96,100,4.05,LT,1702168612
208,bu'aale,1.0833,42.5833,23.06,89,14,2.15,SO,1702168612
209,fort st. john,56.2499,-120.8529,-5.06,74,100,5.14,CA,1702168505
210,queenstown,-31.8976,26.8753,11.19,92,100,1.9,ZA,1702168495
211,mocajuba,-2.5842,-49.5072,25.81,83,41,1.28,BR,1702168612
212,olonkinbyen,70.9221,-8.7187,-5.93,65,100,4.59,SJ,1702168612
213,constantia,44.1833,28.65,-0.62,85,83,4.59,RO,1702168613
214,badger,64.8,-147.5333,-23.13,74,0,0.0,US,1702168613
215,jetpur,21.7333,70.6167,17.97,43,0,2.71,IN,1702168613
216,ust'-ilimsk,58.0006,102.6619,-31.9,99,86,1.71,RU,1702168613
217,nizhneangarsk,55.7833,109.55,-27.78,88,43,3.58,RU,1702168613
218,ponta delgada,37.7333,-25.6667,19.4,100,75,9.77,PT,1702168613
219,lazaro cardenas,17.9583,-102.2,25.79,78,4,1.3,MX,1702168613
220,lucapa,-8.4192,20.7447,17.5,97,96,0.69,AO,1702168613
221,qa'en,33.7265,59.1844,7.15,36,0,2.56,IR,1702168613
222,colonia,50.9333,6.95,11.05,71,75,8.75,DE,1702168613
223,saldanha,-33.0117,17.9442,14.03,85,0,7.18,ZA,1702168614
224,uturoa,-16.7333,-151.4333,27.11,80,70,8.22,PF,1702168614
225,machico,32.7,-16.7667,20.35,69,75,4.12,PT,1702168614
226,cabo san lucas,22.8909,-109.9124,26.17,70,0,2.57,MX,1702168260
227,la passe,45.5549,-0.8967,12.21,88,100,4.73,FR,1702168614
228,centerville,39.6284,-84.1594,13.18,95,100,3.6,US,1702168607
229,sur,22.5667,59.5289,22.12,53,1,2.13,OM,1702168371
230,kristiansund,63.1115,7.732,0.36,69,20,2.06,NO,1702168614
231,holualoa,19.6228,-155.9522,25.91,74,20,5.14,US,1702168614
232,port saint john's,-31.6229,29.5448,19.32,86,100,4.67,ZA,1702168614
233,yashkul',46.1711,45.3435,1.31,72,100,8.7,RU,1702168614
234,colonia menno,-22.3667,-59.8167,31.64,42,64,3.58,PY,1702168614
235,conde,-7.2597,-34.9075,26.7,78,40,3.6,BR,1702168614
236,kavaratti,10.5669,72.642,28.36,75,82,4.06,IN,1702168615
237,mohr,54.3528,9.7167,4.97,94,100,6.17,DE,1702168615
238,isangel,-19.55,169.2667,26.6,64,100,7.99,VU,1702168615
239,kununurra,-15.7667,128.7333,29.99,74,75,3.09,AU,1702168615
240,college,64.8569,-147.8028,-23.08,71,20,0.0,US,1702168615
241,tual,-5.6667,132.75,27.48,82,100,6.01,ID,1702168615
242,chinchilla,-26.75,150.6333,30.93,29,1,7.83,AU,1702168615
243,leava,-14.3,-178.1667,28.31,72,100,2.46,WF,1702168615
244,tura,25.5198,90.2201,14.61,67,0,1.25,IN,1702168615
245,impfondo,1.6381,18.0667,22.18,94,71,0.87,CG,1702168615
246,papao,-17.75,-149.55,30.82,84,98,11.65,PF,1702168615
247,katsuren-haebaru,26.3369,127.8719,25.22,69,40,3.6,JP,1702168615
248,nova sintra,14.8667,-24.7167,22.74,72,50,4.4,CV,1702168615
249,mount isa,-20.7333,139.5,34.87,38,0,4.12,AU,1702168616
250,mount gambier,-37.8333,140.7667,14.65,60,100,6.67,AU,1702168616
251,smithers,54.7804,-127.1743,-1.82,86,75,3.6,CA,1702168616
252,thal,35.4791,72.2439,-2.37,44,0,4.34,PK,1702168616
253,weligama,5.9667,80.4167,24.56,90,52,1.37,LK,1702168616
254,strezhevoy,60.7333,77.5889,-27.8,99,41,2.68,RU,1702168337
255,quba,41.3626,48.5152,7.14,76,100,1.42,AZ,1702168616
256,amga,60.8953,131.9608,-31.12,95,100,2.59,RU,1702168616
257,vilyuysk,63.7553,121.6247,-25.31,96,100,3.07,RU,1702168616
258,atafu village,-8.5421,-172.5159,29.18,75,96,4.17,TK,1702168616
259,faya-largeau,17.9257,19.1043,20.47,24,56,3.16,TD,1702168616
260,cole harbour,44.6724,-63.4751,1.71,90,60,0.0,CA,1702168616
261,pursat,12.3333,103.6667,26.12,72,91,0.31,KH,1702168616
262,camana,-16.6228,-72.7111,19.99,80,99,1.98,PE,1702168617
263,otjimbingwe,-22.35,16.1333,22.26,38,20,3.32,NA,1702168617
264,rikaze,29.25,88.8833,-3.84,54,0,2.2,CN,1702168617
265,aykhal,66.0,111.5,-29.79,98,100,2.42,RU,1702168617
266,praia da vitoria,38.7333,-27.0667,19.14,82,75,9.0,PT,1702168617
267,selfoss,63.9331,-20.9971,-5.53,65,13,3.41,IS,1702168617
268,karratha,-20.7377,116.8463,30.11,24,16,11.44,AU,1702168617
269,puerto aysen,-45.4,-72.7,9.3,99,100,2.45,CL,1702168617
270,luderitz,-26.6481,15.1594,15.19,82,0,9.0,NA,1702168617
271,qusmuryn,52.4503,64.6311,-29.25,99,31,1.05,KZ,1702168617
272,angaur state,6.906,134.13,28.74,76,76,6.56,PW,1702168618
273,kingston,17.997,-76.7936,27.53,86,20,5.14,JM,1702168265
274,juegang,32.3174,121.1855,13.48,96,100,6.64,CN,1702168618
275,borgo val di taro,44.487,9.7658,10.15,94,100,0.89,IT,1702168618
276,kavieng,-2.5744,150.7967,27.09,84,100,4.79,PG,1702168618
277,bay roberts,47.5999,-53.2648,2.3,87,100,3.58,CA,1702168618
278,san pedro,14.35,121.0167,29.08,71,20,4.02,PH,1702168618
279,medicine hat,50.0501,-110.6683,-0.99,73,100,5.66,CA,1702168520
280,rockland,41.1668,-74.0496,10.81,89,100,1.28,US,1702168618
281,cidreira,-30.1811,-50.2056,20.41,77,48,9.19,BR,1702168618
282,flying fish cove,-10.4217,105.6791,25.82,78,75,4.12,CX,1702168618
283,kashgar,39.4547,75.9797,4.56,26,40,1.0,CN,1702168618
284,moree,-29.4667,149.85,32.74,28,0,5.58,AU,1702168569
285,nizhneudinsk,54.9076,99.0276,-31.63,98,28,0.95,RU,1702168618
286,swanage,50.6092,-1.9626,10.87,83,0,10.95,GB,1702168618
